Код пред­прия­тия,Название пред­прия­тия,Краткое название пред­прия­тия
114,"Вагонные колесные мастерские Похвистнево - обособленное структурное подразделение акционерного общества ""Вагонная ремонтная компания-3""","ВКМ Похвистнево АО ""ВРК-3"""
115,"Филиал ""Панютинский вагоноремонтный завод"" Публичного Акционерного Общества ""Украинская железная дорога""","Филиал ""Панютинский ВРЗ"" ПАО УЗ"
116,"Акционерное общество ""Владикавказский вагоноремонтный завод им. С.М. Кирова""","АО ""ВВРЗ им. С.М. Кирова"""
117,"Свободненский вагоноремонтный завод-филиал Общества с ограниченной ответственностью ""Трансвагонмаш""","СВРЗ-филиал ООО ""Трансвагонмаш"""
118,"Открытое акционерное общество ""Киевский электровагоноремонтный завод""","ОАО ""Киевский ЭВРЗ"""
119,"Воронежский тепловозоремонтный завод - филиал акционерного общества ""Желдорреммаш""","Воронежский ТРЗ АО ""Желдорреммаш"""
120,"Общество с ограниченной ответственностью ""Конотопский завод по ремонту дизель-поездов""","ООО ""КЗРДП"""
121,Гайворонский тепловозоремонтный завод,Гайворонский ТРЗ
122,Львовский локомотиворемонтный завод,Львовский ЛРЗ
124,"Филиал ""Стрыйский вагоноремонтный завод"" Публичного Акционерного Общества ""Украинская железная дорога""","Филиал ""Стрыйский ВРЗ"" ПАО УЗ"
126,Ивано-Франковский локомотиворемонтный завод,Ивано-Франковский ЛРЗ
127,"Днепровское научно-производственное объединение электровозостроения ППО ""ДЕВЗ""","ППО ""ДЭВЗ"""
128,Кушвинский тепловозоремонтный завод Минчермет,Кушвинский ТРЗ
129,"Вагонное депо ""Желдорсервис"" Волгоградского филиала общества с ограниченной ответственностью ""СЕРВИСНАЯ ГРУЗОВАЯ КОМПАНИЯ""","Вагонное депо ""Желдорсервис"" ООО ""СГК"""
132,"Акционерное общество ""Ырысты-АЭВРЗ"" Алматы","АО ""Ырысты-АЭВРЗ"""
133,"Частное акционерное общество ""Днепровагонмаш""","ЧАО ""Днепровагонмаш"""
134,"Общество с ограниченной ответственностью ""Вагонтрэйд Плюс""","ООО ""Вагонтрэйд Плюс"""
135,Боготольский вагоноремонтный завод,Боготольский ВРЗ
136,Анжерский вагоноремонтный завод,Анжерский ВРЗ
143,"Открытое акционерное общество ""Мариупольский завод тяжёлого машиностроения""","ОАО ""МЗТМ"""
144,"Открытое акционерное общество ""Саранский вагоноремонтный завод""","ОАО ""Саранский ВРЗ"""
146,Подольский механический завод,Подольский МЗ
149,"Открытое акционерное общество ""Транспневматика""","ОАО ""Транспневматика"""
