Код пред­прия­тия,Название пред­прия­тия,Краткое название пред­прия­тия
1768,"Рязанская механизированная дистанция инфраструктуры-СП Московской дирекции по эксплуатации ПМ-СП Центральной дирекции по эксплуатации ПМ-СП ЦДИ-филиала ОАО ""РЖД"" (Панки)","Рязанская механизированная дистанция инфраструктуры ОАО ""РЖД"" (Панки)"
1769,"Сервисное локомотивное депо ""Дно-Псковское"" филиала ""Северо-Западный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Дно-Псковское ООО ""ЛокоТех-Сервис"""
1770,"Челябинский ПУ по техническому обслуживанию специального подвижного состава-дирекции по эксплуатации и ремонту ПМ-СП Южно-Уральской дирекции инфраструктуры-СП ЦД инфраструктуры-филиала ОАО ""РЖД""","Челябинский ПУ ТО ССПС ДПМ ЦДИ ОАО ""РЖД"""
1771,"Общество с ограниченной ответственностью ""Бологовский ремонтно-механический завод""","ООО ""БРМЗ"""
1772,"Общество с ограниченной ответственностью ""ЖелДорСервис""","ООО ""ЖелДорСервис"""
1773,"Общество с ограниченной ответственностью ""Украинская производственная компания""","ООО ""УПК"""
1774,"Рязанские дорожные путевые ремонтно-механические мастерские – СП дирекции по эксплуатации и ремонту путевых машин – СП Московской дирекции инфраструктуры – СП ЦДИ – ОАО ""РЖД""","Рязанские ДПМ ОАО ""РЖД"""
1775,"Моторвагонное депо Челябинск – СП Восточно-Сибирской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Челябинск ОАО ""РЖД"""
1776,"Моторвагонное депо Новосибирск – СП Западно-Сибирской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Новосибирск ОАО ""РЖД"""
1777,"Сервисное локомотивное депо ""Горький-Центральный"" филиала "" Западный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Горький-Центральный ООО ""ЛокоТех-Сервис"""
1778,"Моторвагонное депо Курган – СП Южно-Уральской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Курган ОАО ""РЖД"""
1779,"Моторвагонное депо Дема (ст. Стерлитамак) – СП Куйбышевской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","ТЧПриг-21 Дема ОАО ""РЖД"""
1780,"Моторвагонное депо Алтайская – СП Западно-Сибирской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Алтайская ОАО ""РЖД"""
1781,"Производственный участок Абакан – ОП Красноярской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Абакан ОАО ""РЖД"""
1782,"Моторвагонное депо Вихоревка – СП Восточно-Сибирской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Вихоревка ОАО ""РЖД"""
1783,"Сервисное отделение ""Суоярви"" сервисного локомотивного депо ""Петрозаводск"" филиала ""Северо-Западный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СО Суоярви ООО ""ЛокоТех-Сервис"""
1784,"Общество с ограниченной ответственностью ""Пермское Локомотиворемонтное Депо""","ООО ""Пермское Локомотиворемонтное Депо"""
1785,"Вагоноремонтное предприятие Котел – филиала общества с ограниченной отвтсвенностью ""Вагонно-колесная мастерская""","ВРП Котел ООО ""ВКМ"""
1786,"Моторвагонное депо Куровская – СП Московской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Куровская ОАО ""РЖД"""
1787,"Общество с ограниченной ответственностью ""УБТ – Уральский завод поглощающих аппаратов""","ООО ""УБТ-УЗПА"""
1788,"Общество с ограниченной ответственностью ""Первая Локомотивная Компания""","ООО ""ПЛК"""
1789,"Производственный участок Белгород моторвагонного депо Отрожка – СП Юго-Восточной дирекции моторвагонного подвижного состава – СП ЦД моторвагонного подвижного состава – филиала ОАО ""РЖД""","ПУ Белгород депо Отрожка ОАО ""РЖД"""
1790,"Закрытое акционерное общество ""Осиповичский завод транспортного машиностроения""","ЗАО ""ОЗТМ"""
1791,"Моторвагонное депо Москва-2 Ярославская – СП Московской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Москва-2 Ярославская ОАО ""РЖД"""
1792,"Моторвагонное депо Раменское-СП Московской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Раменское ОАО ""РЖД"""
1793,"Эксплуатационное вагонное депо Новосокольники – СП Октябрьской дирекции инфраструктуры-СП Центральной дирекции инфраструктуры-филиала ОАО ""РЖД""","ВЧДЭ Новосокольники ОАО ""РЖД"""
1794,"Путевая машинная станция по эксплуатации и ремонту путевых машин № 307-СП дирекции по эксплуатации и ремонту путевых машин-СП Московской дирекции инфраструктуры-СП ЦДИ-филиала ОАО ""РЖД""","ПМС 307 ЦДИ ОАО ""РЖД"""
1795,"Моторвагонное депо Лобня – СП Московской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Лобня ОАО ""РЖД"""
1796,"Моторвагонное депо Волгоград – СП Приволжской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Волгоград ОАО ""РЖД"""
1797,"Моторвагонное депо Омск – СП Западно-Сибирской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Омск ОАО ""РЖД"""
1798,"Моторвагонное депо Новокузнецк – СП Западно-Сибирской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Новокузнецк ОАО ""РЖД"""
1799,"Сервисное локомотивное депо ""Амурское""-филиала ""Дальневосточный"" общества с ограниченной ответсвенностью ""ЛокоТех-Сервис""","СЛД Амурское ООО ""ЛокоТех-Сервис"""
1800,"Фаянсовая механизированная дистанция инфраструктуры-СП Московской дирекции по эксплуатации ПМ-СП Центральной дирекции по эксплуатации ПМ-СП ЦДИ-филиала ОАО ""РЖД"" (Бирюлево)",Фаянсовая механизированная дистанция инфраструктур
1801,"Сервисное локомотивное депо ""Орехово"" общества с ограниченной ответственностью ""СТМ-Сервис""","СЛД Орехово ООО ""СТМ-Сервис"""
1802,"Общество с ограниченной ответственностью ""ЖелДорСервис"" (ст. Гатчина-Товарная-Балтийска)","ООО ""ЖелДорСервис"""
1803,"Обособленное подразделение ""Брянск-Льговский"" общества с ограниченной ответственностью ""Милорем-Сервис""","ОП Брянск-Льговский ООО ""Милорем-Сервис"""
1804,"Забайкальская дирекция моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Забайкальская дирекция моторвагонного ПС ОАО ""РЖД"""
1805,"Пункт технического обслуживания пассажирских вагонов Череповец Вагонного участок Вологда – СП Северного филиала акционерного общества ""Федеральная пассажирская компания""","Череповец ВУ Вологда АО ""ФПК"""
1806,"Северобайкальский ПУ-СП Северобайкальской механизированной дистанции инфраструктуры-СП Восточной дирекции по эксплуатации ПМ-СП Дирекции по эксплуатации ПМ-СП ЦДИ-филиала ОАО ""РЖД""","ДПМу-23 Северобайкальск ОАО ""РЖД"""
1807,"Вагонный участок Вологда – СП Северного филиала акционерного общества ""Федеральная пассажирская компания""","ВУ Вологда АО ""ФПК"""
1808,"Общество с ограниченной ответственностью ""УГЛЕПЛАСТИК""","ООО ""УГЛЕПЛАСТИК"""
1809,"Общество с ограниченной ответственностью ""УГЛЕПЛАСТИК"" г. Дзержинск","ООО ""УГЛЕПЛАСТИК"" г. Дзержинск"
1810,"Вагонный участок Котлас – СП Северного филиала акционерного общества ""Федеральная пассажирская компания""","ВУ Котлас АО ""ФПК"""
1811,"Обособленное подразделение ""Шарья"" общества с ограниченной ответственностью ""Милорем-Сервис""","ОП Шарья ООО ""Милорем-Сервис"""
1812,"Обособленное подразделение ""Санкт-Петербург-Сортировочный-Московский"" общества с ограниченной ответственностью ""Милорем-Сервис""","ОП Санкт-Петербург-Сорт.-Мосск. ООО ""Милорем-Серви"
1813,"Общество с ограниченной ответственностью ""ВТК Орск""","ООО ""ВТК Орск"""
1814,"Сервисное локомотивное депо ""Бекасово"" общества с ограниченной ответственностью ""СТМ-Сервис""","СЛД Бекасово ООО ""СТМ-Сервис"""
1815,"Моторвагонное депо Смоленск-1-СП Московской дирекции моторвагонного подвижного состава-СП Центральной дирекции моторвагонного подвижного состава – филиалал ОАО ""РЖД""","Моторвагонное депо Смоленск-1 ОАО ""РЖД"""
1816,"Обособленное подразделение ""Горький-Центральный"" общества с ограниченной ответственностью ""Милорем-Сервис""","ОП Горький-Центральный ООО ""Милорем-Сервис"""
1817,"Моторвагонное депо Иркутск-Сортировочный – СП Восточно-Сибирской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Иркутск-Сортировочный ОАО ""РЖД"""
1818,"Моторвагонное депо Новомосковск-1-СП Московской дирекции моторвагонного подвижного состава-СП Центральной дирекции моторвагонного подвижного состава-филиала ОАО ""РЖД""","Моторвагонное депо Новомосковск-1 ОАО ""РЖД"""
1819,"Моторвагонное депо Сакмарская-СП Южно-Уральской дирекции моторвагонного подвижного состава-СП Центральной дирекции моторвагонного подвижного состава-филиала ОАО ""РЖД""","ТЧМ-34 Сакмарская ОАО ""РЖД"""
1820,"Брянская механизированная дистанция инфраструктуры-СП Московской дирекции по эксплуатации ПМ-СП Центральной дирекции по эксплуатации ПМ-СП ЦДИ-филиала ОАО ""РЖД"" (Малоярославец)",Брянская механизированная дистанция инфраструктуры
1821,"Фаянсовая механизированная дистанция инфраструктуры-СП Московской дирекции по эксплуатации ПМ-СП Центральной дирекции по эксплуатации ПМ-СП ЦДИ-филиала ОАО ""РЖД""",Фаянсовая механизированная дистанция инфраструктур
1822,"Моторвагонное депо Нижний Тагил-СП Московской дирекции моторвагонного подвижного состава-СП Центральной дирекции моторвагонного подвижного состава-филиала ОАО ""РЖД""","Моторвагонное депо Нижний Тагил ОАО ""РЖД"""
1823,"Сервисное отделение ""Выборг"" общества с ограниченной ответственность ""Миорем-Сервис""","СО Выборг ООО ""Милорем-Сервис"""
1824,"Брянская механизированная дистанция инфраструктуры-СП Московской дирекции по эксплуатации ПМ-СП Центральной дирекции по эксплуатации ПМ-СП ЦДИ-филиала ОАО ""РЖД"" (Тула)",Брянская механизированная дистанция инфраструктуры
1825,"Фаянсовая механизированная дистанция инфраструктуры-СП Московской дирекции по эксплуатации ПМ-СП Центральной дирекции по эксплуатации ПМ-СП ЦДИ-филиала ОАО ""РЖД"" (Тула)",Фаянсовая механизированная дистанция инфраструктур
1826,"Участок эксплуатации путевой техники-СП Иркутск-Сортировочной механизированной дистанции инфраструктуры-СП Восточной дирекции по эксплуатации ПМ-СП ЦДИ-ф-ла ОАО ""РЖД""","Участок эксплуатации ПТ ЦДИ ОАО ""РЖД"""
1827,"Товарищество с ограниченной ответственностью ""Sun Rails""","ТОО ""Sun Rails"""
1828,"Общество с ограниченной ответственностью ""Депо""","ООО ""Депо"""
1829,"Кулойский УЭ ПМ и моторно-рельсового транспорта-ОП Няндомской МД инфраструктуры – СП Северо-Восточной дирекции по эксплуатации ПМ – СП Дирекции по эксплуатации ПМ– СП ЦД инфраструктуры – ф-а ОАО ""РЖД""","Кулойский участок Няндомской МДИ ОАО ""РЖД"""
1830,"Сервисное локомотивное депо ""Ершовское""-филиала ""Южный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Ершовское ООО ""ЛокоТех-Сервис"""
1831,"Открытое акционерное общество ""Подольское ППЖТ""","ОАО ""Подольское ППЖТ"""
1832,"Акционерное общество ""Ногинское ППЖТ""","АО ""Ногинское ППЖТ"""
1833,"Обособленное подразделение ""Москва-Сортировочная"" Общества с ограниченной ответственностью ""Милорем-Сервис""","ОП Москва-Сортировочная ООО ""Милорем-Сервис"""
1834,"Сервисное отделение ""Новый Ургал"" сервисного локомотивного депо ""Амурское"" филиала ""Дальневосточный"" Общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СО Новый Ургал СЛД Амурское ООО ""ЛокоТех-Сервис"""
1835,"Иркутск-Сортировочный участок производства (1 группа) (ст.Кая)-СП Иркутской механизированной ДИ –СП Восточной дирекции эксплуатации ПМ-СП дирекции по эксплуатации путевых машин-СП ЦДИ-ф-ла ОАО ""РЖД""",ДПМу-7 Иркутск-Сортировочный участок производсва О
1836,"Вагонный участок Сыктывкар-СП Северного филиала АО ""Федеральная пассажирская компания""","ВУ Сыктывкар АО ""ФПК"""
1837,"Сервисное локомотивное депо ""Волхов"" филиала ""Северо-Западный"" Общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Волхов ООО ""ЛокоТех-Сервис"""
1838,"Моторвагоннное депо Перерва – СП Московской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","Моторвагонное депо Перерва ОАО ""РЖД"""
1839,"Сервисное отделение ""Волгоград"" сервисного локомотивного депо ""Сарепта"" филиала ""Южный"" Общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СО Волгоград СЛД Сарепта ООО ""ЛокоТех-Сервис"""
1840,"Пермский филиал Общества с ограниченной ответственностью ""Транспортно-Экспедиторская Компания Нижегородский Экспресс""","Пермский филиал ООО ""ТЭК-ННЭ"""
1841,"Общество с ограниченной ответственностью ""Инновации ресурсообеспечения железнодорожного транстпорта""","ООО ""ИРЖТРАНС"""
1842,Индивидуальный предприниматель Прусаченко Геннадий Витальевич,ИП Прусаченко Г.В.
1843,"Моторвагонное депо Апрелевка-СП Московской дирекции моторвагонного подвижного состава-СП Центральной дирекции моторвагонного подвижного состава-филиала ОАО ""РЖД""","Моторвагонное депо Апрелевка ОАО ""РЖД"""
1844,"Общество с ограниченной ответственностью ""Единая Промышленная Компания""","ООО ""ЕПК"""
1845,"Моторвагонное депо Железнодорожная –СП Московской дирекции моторвагонного подвижного состава-СП Центральной дирекции моторвагонного подвижного состава-филиала ОАО ""РЖД""","Моторвагонное депо Железнодорожная ОАО ""РЖД"""
1846,"Вагонный участок Архангельск – СП Северного филиала акционерного общества ""Федеральная пассажирская компания""","ВУ Архангельск АО ""ФПК"""
1847,"Вагонный участок Ярославль – СП Северного филиала акционерного общества ""Федеральная","ВУ Ярославль АО ""ФПК"""
1848,"Вагонный участок Ярославль (г. Кострома) – СП Северного филиала акционерного общества ""Федеральная пассажирская компания""","ВУ Ярославль АО ""ФПК"""
1849,"Сервисное отделение ""Высокогорная"" сервисного локомотивного депо ""Амурское"" филиала ""Дальневосточный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СО Высокогорная СЛД Амурское ООО ""ЛокоТех-Сервис"""
1850,"Моторвагонное депо Новомосковск-1(ПУ Тула) – СП Московской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","ТЧМ-22 Новомосковск-1 ОАО ""РЖД"""
1851,"Моторвагонное депо Раменское (ПУ Рыбное) – СП Московской дирекции моторвагонного подвижного состава – СП Центральной дирекции моторвагонного подвижного состава – филиала ОАО ""РЖД""","ТЧМ-7 Раменское ОАО ""РЖД"""
1852,"Вагонный участок Ярославль (г. Ярославль)-СП Северного филиала акционерного общества ""Федеральная пассажирская компания""","ВЧ-1 Ярославль АО ""ФПК"""
1853,"Сервисное локомотивное депо ""Орел"" общества с ограниченной ответственностью ""СТМ-Сервис""","СЛД Орел ООО ""СТМ_Сервис"""
1854,"Открытое акционерное общество ""Минский подшипниковый завод""","ОАО ""МПЗ"""
1855,"Общество с ограниченной ответственностью ""Предприятие промышленного железнодорожного транспорта""","ООО ""Предприятие промышленного железнодорожного тр"
1856,"Сервисное локомотивное депо ""Петрозаводск"" филиала ""Северо-Западный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Петрозаводск ООО ""ЛокоТех-Сервис"""
1857,"Сервисное отделение ""Новая Чара"" сервисного локомотивного депо ""Зиминское"" филиала ""Восточно-Сибирский"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СО Новая Чара СЛД Зиминское ООО ""ЛокоТех-Сервис"""
1858,"Общество с ограниченной ответственностью ""Стройдеталь-Сервис""","ООО ""Стройдеталь-Сервис"""
1859,"Сервисное отделение ""Лоста"" сервисного локомотивного депо ""Вологда"" филиала ""Северный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СО Лоста СЛД Вологда ООО ""ЛокоТех-Сервис"""
1860,"Сервисное локомотивное депо ""Вологда"" филиала ""Северный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Вологда ООО ""ЛокоТех-Сервис"""
1861,"Сервисное локомотивное депо ""Сольвычегодск"" филиала ""Северный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СЛД Сольвычегодск ООО ""ЛокоТех-Сервис"""
1862,"Общество с ограниченной ответственностью ""Аэроэкспресс""","ООО ""Аэроэкспресс"""
1863,"Общество с ограниченной ответственностью ""ЛокоТех-Промсервис""","ООО ""ЛокоТех-Промсервис"""
1864,"Общество с ограниченной ответственностью ""ТрансТактик""","ООО ""ТрансТактик"""
1865,"Акционерное общество ""Машиностроительный концерн ""ОРМЕТО-ЮУМЗ""","АО ""МК ""ОРМЕТО-ЮУМЗ"""
1886,"Общество с ограниченной ответственностью ""Спецтехремонт""","ООО ""Спецтехремонт"""
1887,"Общество с ограниченной ответственностью ""Элтранс""","ООО ""Элтранс"""
1888,"Общество с ограниченной ответственностью ""Техно-Дизель""","ООО ""Техно-Дизель"""
1889,"Общество с ограниченной ответственностью ""Транспортно-производственная компания ""Промтехдепо""","ООО ""ТПК ""Промтехдепо"""
1890,"Общество с ограниченной ответственностью ""ТРАМИС-АРМ""","ООО ""ТРАМИС-АРМ"""
1891,"Хабаровский центр путевых звеносборочных линий и машин отделения пути и путевых машин Проектно-конструкторского бюро по инфраструктуре – филиала ОАО ""РЖД""","ХЦПМ ПКБ И ОАО ""РЖД"""
1892,"Эксплуатационное вагонное депо Краснодар – структурное подразделение Северо-Кавказской дирекции инфраструктуры – структурное подразделение Центральной дирекции инфраструктуры – филиала ОАО ""РЖД""","ВЧДЭ-13 Краснодар ОАО ""РЖД"""
1893,"Ямальский филиал общества с ограниченной ответственностью ""Газпромтранс""","Ямальский филиала ООО ""Газпромтранс"""
1894,"Общество с ограниченной ответственностью ""Никопольский краностроительный завод""","ООО ""НКЗ"""
1895,"Вологодская МД инфраструктуры – СП Северо-Восточной дирекции по эксплуатации ПМ – СП Дирекции по эксплуатации путевых машин – СП Центральной дирекции инфраструктуры – филиала ОАО ""РЖД""","Вологодская механизированная ДИ ОАО ""РЖД"""
1896,"Общество с ограниченной ответственностью ""Автолитмаш""","ООО ""Автолитмаш"""
1897,"Сервисный участок ""Микунь"" сервисного локомотивного депо ""Сольвычегодск"" филиала ""Северный"" общества с ограниченной ответственностью ""ЛокоТех-Сервис""","СУ Микунь СЛД Сольвычегодск ООО ""ЛокоТех-Сервис"""
1898,"Ярославская МД инфраструктуры – СП Северо-Восточной дирекции по эксплуатации путевых машин – СП Дирекции по эксплуатации путевых машин – СП Центральной дирекции инфраструктуры – филиала ОАО ""РЖД""","Ярославская механизированная ДИ ОАО ""РЖД"""
1899,Кемеровский завод химического машиностроения – филиал акционерного общества Алтайское вагоностроение,"Кемеровохиммаш-филиал АО ""Алтайвагон"""
1900,"Общество с ограниченной ответственностью НАУЧНО-КОММЕРЧЕСКОЕ ПРЕДПРИЯТИЕ ""ВОЛГАРЕММАШ""","ООО НКП ""ВОЛГАРЕММАШ"""
1901,"Товарищество с ограниченной ответственностью ""СКЭП""","ТОО ""СКЭП"""
1902,"Общество с ограниченной ответственностью ""ЖД Профи""","ООО ""ЖД Профи"""
1903,"Производственный участок Калуга сервисного локомотивного депо Бекасово Общества с ограниченной ответственностью ""СТМ-Сервис""","ПУ Калуга СЛД Бекасово ООО ""СТМ-Сервис"""
1904,"Акционерное общество ""Клинское предприятие промышленного железнодорожного транспорта""","АО ""Клинское ППЖТ"""
1905,"Общество с ограниченной ответственностью ""Энергомонтаж""","ООО ""Энергомонтаж"""
1906,"""Вагонное ремонтное депо Арчеда"" - филиала Общество с ограниченной ответственностью ""Новая вагоноремонтная компания"" (КРУ)","ВРД Арчеда ООО ""НВК"""
1907,"Общество с ограниченной ответственностью ""Украинская производственная компания""","ООО ""УПК"""
1908,"Общество с ограниченной ответственностью ""Компания Экотранс""","ООО ""Компания Экотранс"""
1909,"Общество с ограниченной ответственностью ""Титан""","ООО ""Титан"""
1910,"Общество с ограниченной ответственностью ""ТОРГОВЫЙ ДОМ ""БУДКОМ""","""ТОРГОВЫЙ ДОМ ""БУДКОМ"""
1911,"Общество с ограниченной ответственностью ""Нежинский опытно-механический завод""","ООО ""НОМЗ"""
1912,"Общество с ограниченной ответственностью ""РемТрансМаш"" (ст. Перово)","ООО ""РемТрансМаш"" (ст.Перово)"
1913,"Общество с ограниченной ответственностью ""СинараПромТранс""","ООО ""СинараПромТранс"""
1914,"Акционерное общество ""Тулажелдормаш""","АО ""Тулажелдормаш"""
1915,"Акционерное общество ""Башкирская содовая компания""","АО ""Башкирская содовая компания"""
1916,"Филиал товарищества с ограниченной ответственностью ""Astana Railway Services"" - ""Кушмурунское вагоноремонтное депо""","ВРД Кушмурун – филиал ТОО ""ARS"""
1917,"Филиал товарищества с ограниченной ответственностью ""Astana Railway Services"" - ""Арысское вагоноремонтное депо""","ВРД Арысь – филиал ТОО ""ARS"""
1918,"Филиал товарищества с ограниченной ответственностью ""Astana Railway Services"" - ""Балхашское вагоноремонтное депо""","ВРД Балхаш – филиал ТОО ""ARS"""
1919,"Няндомская МД инфраструктуры – СП Северо-Восточной дирекции по эксплуатации путевых машин – СП Дирекции по эксплуатации путевых машин – СП Центральной дирекции инфраструктуры – филиала ОАО ""РЖД""","Няндомской механизированная ДИ ОАО ""РЖД"""
1920,"Общество с ограниченной ответственностью ""Чайковское предприятие промышленного железнодорожного транспорта""","ООО ""Чайкосвкое ППЖТ"""
1921,"Общество с ограниченной ответственностью ""Трансойл-сервис""","ООО ""Трансойл-сервис"""
1922,"Общество с ограниченной ответственностью ""Транс-Сервис""","ООО ""Транс-Сервис"""
1923,Рубцовский филиал акционерного общества Алтайского вагоностроения,"Рубцовский филиал АО ""Алтайвагон"""
1924,"Закрытое акционерное общество ""КРОСНА-МОТОР""","ЗАО ""КРОСНА-МОТОР"""
1925,"Общество с ограниченной ответственностью ""АРИС""","ООО ""АРИС"""
1926,"Общество с ограниченной ответственностью ""Азовский металлообрабатывающий завод""","ООО ""Азовский металлообрабатывающий завод"""
1927,"Общество с ограниченной ответственностью ""Инжиниринг Сервис-Путьмаш""","ООО ""Инжиниринг Сервис-Путьмаш"""
1928,"Дирекция аварийно-восстановительных средств – СП Октябрьской железной дороги – филиала ОАО ""РЖД""","ДАВС Октябрьской ж.д. ОА ""РЖД"""
1929,"Общество с ограниченной ответственностью ""СТОР""","ООО ""СТОР"""
1930,"Общество с ограниченной ответственностью ""ПРОМРЕМСЕРВИС""","ООО ""ПРОМРЕМСЕРВИС"""
1931,"Общество с ограниченной ответственностью ""Волгоградский метизный завод""","ООО ""Волгоградский метизный завод"""
1932,"Публичное акционерное общество ""Новолипецкий металлургический комбинат""","ПАО ""НЛМК"""
1933,"Вагонное ремонтное депо Хилок – филиал общества с ограниченной ответственностью ""Новая вагоноремонтная компания""","ВРД Хилок ООО ""НВК"""
1934,"Общество с ограниченной ответственностью ""ТМХС Локализация""","ООО ""ТМХС Локализация"""
1935,"Багаевская механизированная дистанция пути-СП Приволжской дирекции по ремонту пути-СП Центральной дирекции по ремонту пути-филиала ОАО ""РЖД""","ПЧМ Багаевская ЦДРП ОАО ""РЖД"""
1936,"STATE ENTERPRISE ""PLANT ""ELECTROTYAZHMASH""","SE ""PLANT ""ELECTROTYAZHMASH"""
1937,"Общество с ограниченной ответственностью ""НКТ Энергомаш""","ООО ""НКТ Энергомаш"""
1938,"Общество с ограниченной ответственностью ""Ирбитский завод Спецтехники""","ООО ""ИЗСТ"""
1939,"Путевая машинная станция №140-СП Юго-Восточной дирекции по ремонту пути-СП Центральной дирекции по ремонту пути-филиала ОАО ""РЖД""","ПМС 140 ОАО ""РЖД"""
1940,"Путевая машинная станция №42-СП Южно-Уральской дирекции по ремонту пути-СП Центральной дирекции по ремонту пути-филиала ОАО ""РЖД""","ПМС 42 ОАО ""РЖД"""
1941,"Путевая машинная станция №176-СП Южно-Уральской дирекции по ремонту пути-СП Центральной дирекции по ремонту пути-филиала ОАО ""РЖД""","ПМС 716 ОАО ""РЖД"""
1942,"Путевая машинная станция №138-СП Юго-Восточной дирекции по ремонту пути-СП Центральной дирекции по ремонту пути-филиала ОАО ""РЖД""","ПМС 138 ОАО ""РЖД"""
1943,"Общество с ограниченной ответственностью ""Дизель-Инструмент плюс""","ООО ""Дизель-Инструмент плюс"""
1944,"Общество с ограниченной ответственностью ""Главгруп""","ООО ""Главгруп"""
1945,"Общество с ограниченной ответственностью ""Воронежпромлит""","ООО ""Воронежпромлит"""
1946,"Общество с ограниченной ответственностью ""Вагонное депо Тюмень""","ООО ""Вагонное депо Тюмень"""
1947,"Акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""","АО ""ПО ""Севмаш"""
1948,"Вагонные колесные мастерские Горький-Сортировочный –обособленный ПУ вагонного ремонтного депо Горький-Сортировочный –ОСП акционерного общества ""Вагонная ремонтная компания-1""","ВКМ ВЧДР Горький-Сортировочный АО ""ВРК-1"""
1949,"Путевая машинная станция №36-СП Южно-Уральской дирекции по ремонту пути-СП Центральной дирекции по ремонту пути-филиала ОАО ""РЖД""","ПМС 36 ОАО ""РЖД"""
1950,Участок производства станции Поронайск-ремонтного локомотивного депо Сахалинское-СП Дальневосточной дирекции по ремонта тягового подвижного состава-СП Дирекции по ремонту тягового подвижного состава-ф,"Участок Поронайск РЛД Сахалинское ОАО ""РЖД"""
1951,"Участок производства станции Холмск-РЛД Сахалинское-СП Дальневосточной дирекции по ремонта тягового подвижного состава-СП Дирекции по ремонту тягового подвижного состава-филиала ОАО ""РЖД""","Участок Холмск РЛД Сахалинское ОАО ""РЖД"""
